Leaning,Detention,Unlawful,Deportation,Sanctuary,Surveillance,Racial profiling,Litigation,Exploitation,Asylum,Immigration,Policy,Justice,Fraud,Safety,Challenge,Enforcement,Violation,Detainees,Illegal aliens,Resistance
1,0.4774641007,0,0.8098221777,0,0,0,0,0,0,0.3158973412,0,0,0,0,0,0.4372704246,0,0.6088736608,0,0
0,0,0,1.214733266,0,0,0,0,0,0,0.9476920235,0,0,0,0,0,0,0,0,0,0
1,0,0,1.214733266,0,0,0,0,0,0,0.9476920235,0,0,0,0,0,0,0,0,0,0
0,0,0,1.214733266,0,0,0,0,0,0,0.9476920235,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3.876385516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.9476920235,0,2.284766348,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1.895384047,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.105589909,0,0,1.217747322,0,0.6317946824,0,0,0,0,0,0,0,0,0,0
1,0,0.7752771032,0.4858933066,0,0,0,0,0,0,0.3790768094,0,0,0,0,0,0,0.8328135177,0,0.6633539456,0
1,0,0,0,0,1.658384864,0,0,0,0,0.9476920235,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2.435494643,0,0,0,0,0,0,0,0,0,0,0,0.8745408491,0,0,0,0
1,0,0,0,3.653241965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.9549282014,0,0.8098221777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217747322,0,0
0,0,0,0,0,3.316769728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.4774641007,0,0.4049110888,0,0,0,0,1.217747322,0,0.3158973412,0,0,0,0,0,0.4372704246,0,0,0,0
0,0,0,0,0,0,0,0,0,0.9133104912,0.4738460118,0.969096379,0,0,0,0,0,0,0,0.829192432,0
0,0.7161961511,0,0,0,0,0,1.142383174,0,0,0.4738460118,0,0,1.041016897,0,0,0,0,0,0,0
0,0,0,0,0,1.658384864,0,0,0,0,0.9476920235,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1.826620982,0,0.9476920235,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2.429466533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0.6317946824,1.292128505,0,0,0,0,0,0,0,1.105589909,0
1,0,0,0,0,0,0,0,0,0,1.895384047,0,0,0,0,0,0,0,0,0,0
1,0,0,0.8098221777,0,0,0,0,0,0,0,0,0,0,0,0,0.8745408491,0,0,1.105589909,0
1,0,0,0.4858933066,0,0,0,0,0,0,0.3790768094,0,0,0.8328135177,0,0,0.5247245095,0,0,0.6633539456,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0.9476920235,0,0,0,0,0,1.311811274,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.653241965,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.895384047,0,0,0,0,0,0,0,0,0,0
0,0.9549282014,0,0.2699407259,0,0,0,0,0,0.4059157738,0.6317946824,0,0,0,0,0,0.2915136164,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.9476920235,0,0,0,0,0,1.311811274,0,0,0,0
0,0,0,1.214733266,0,0,0,0,0,0,0.9476920235,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.623622547,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.623622547,0,0,0,0
1,1.432392302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.311811274,0,0,0,0
1,0,0,2.429466533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.909856403,0,0,0,1.105589909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.9110499499,0,0.414596216,0,0,0,0.9133104912,0.2369230059,0,0,0,0,0,0,0,0,0.414596216,0
0,0,0,0,0,0,0,0,0,0,0.9476920235,0,0,0,1.938192758,0,0,0,0,0,0
0,0,1.292128505,0,0,0,1.388022529,0,0,0,0,0,0,0,0,0,0,1.388022529,0,0,0
0,0,0,0.8098221777,0,0,0,0,0,0,0.6317946824,0,0,0,1.292128505,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.217747322,0.6317946824,1.292128505,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.3183094005,0,0.2699407259,2.029578869,0,0,0,0,0,0.2105982275,0,0,0,0,0,0.2915136164,0,0,0,0.5077258552
1,2.046274717,0,0,0,0,0,0,0,0,0,0,0,0,0.5537693594,0,0,0,0.5218917092,0,0
1,0,0,0,0,0,0,0,3.653241965,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4.164067588,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,3.653241965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.864784604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.9476920235,0,0,0,0,0,1.311811274,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0